レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240608MKN01,1,0,4,4.0,4.0,45.0,2,1,-1.031890839649629,-1.3134760015510536,0.6764394020977338,0.9903074939019728,0.7154329679580692
20240608MKN02,1,1,4,4.0,4.0,45.0,0,0,1.194467074622272,0.4456009372704045,-0.8783124940683507,0.4257991517542635,-0.2058467423981512
20240608MKN03,1,2,4,4.0,4.0,45.0,3,0,-0.8546077944280537,-1.065704633008588,-0.3279457125679788,0.7492141547571073,-1.6329931618554376
20240608MKN04,1,3,4,1.0,1.0,45.0,2,0,0.2659524600818943,0.3919407102788019,-0.5474740444923311,0.6268146952814722,-0.6172133998483585
20240608MKN05,1,4,0,1.0,1.0,45.0,0,1,1.1338153302407938,1.3784991184165905,0.1302688839824825,-0.5808063534670725,-0.6358383670736417
20240608MKN06,1,5,1,3.0,3.0,45.0,2,0,0.8463232351154426,0.7187806310786271,-1.5774368942816503,-1.672405492196998,-1.2801506262055848
20240608MKN07,1,6,1,3.0,3.0,45.0,1,1,1.522377822975631,1.0593977591098065,-0.8467081498071387,-1.405487822601866,1.1145991603906344
20240608MKN08,1,7,1,2.0,2.0,45.0,2,1,-0.026475998540003,0.8155446820170882,-0.6349610624272515,0.7791566002975235,1.2455047375590855
20240608MKN09,1,8,2,3.0,3.0,45.0,2,0,0.2172993692139969,-1.5779606141896416,-0.2068246598642496,0.6651886255805161,1.5478824090462164
20240608MKN10,1,9,2,3.0,3.0,45.0,3,1,0.0230578843059689,-0.6293208389087747,-1.6318393451095792,-0.8520187689887971,1.1089253130067298
20240608MKN11,1,10,8,3.0,3.0,45.0,3,0,-1.588576945766052,-0.7433417532482115,1.22636537523174,-0.3391091833913267,0.9653985509761708
20240608MKN12,1,11,6,2.0,2.0,45.0,1,1,-1.5679176498448788,-0.446934391291088,1.3173377336973249,1.8153096520662464,-0.0533304891164612
20240608TKN01,11,0,1,3.0,1.0,40.0,2,0,-0.3952741446308235,-0.1134320797780097,-1.5213585287518192,0.6873019032545551,-0.4399296168914995
20240608TKN02,11,1,1,3.0,1.0,40.0,2,0,-0.5700524519841967,-0.5955238098357244,1.4977311333377674,-1.0257858219832523,-0.8951435925492807
