レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240625FKO04,15.2,6.9,6.8,11.1,15.6,11.2,20.8,5.6,9.5,6.7,66.1,95.0,58.5,58.5,84.5,58.5,42.2,89.4,19.5,12.3
20240625FKO05,10.9,6.5,3.7,115.8,17.8,9.9,165.5,3.2,96.5,46.3,21.8,19.6,386.2,9.5,128.7,115.8,20.3,289.6,386.2,27.5
20240625FKO06,11.2,13.6,7.5,11.0,29.9,8.6,13.2,10.4,13.8,4.5,84.2,47.3,59.8,42.9,33.4,12.9,73.3,75.8,19.7,12.9
20240625FKO07,8.2,5.8,7.7,16.9,4.6,10.5,10.6,9.2,5.8,14.8,60.8,223.0,167.2,167.2,51.4,223.0,121.6,74.3,191.1,58.1
20240625FKO08,3.8,2.3,29.1,12.6,4.1,33.7,14.5,29.1,14.7,174.8,50.6,213.6,96.1,320.5,96.1,641.0,320.5,106.8,35.6,384.6
20240625FKO09,2.5,12.3,14.2,108.0,4.7,2.9,21.2,24.9,58.9,56.3,46.2,32.4,108.0,117.8,216.0,216.0,76.2,185.1,216.0,259.2
20240625FKO10,4.7,2.3,5.2,13.6,9.7,19.6,39.3,15.0,34.5,31.7,22.1,75.5,121.5,68.1,127.0,199.6,111.7,186.3,310.5,133.0
20240625FKO11,3.6,3.4,7.8,15.9,7.6,22.3,23.7,14.1,13.6,34.5,25.9,77.9,70.6,49.1,26.5,129.1,110.2,51.3,188.3,57.9
20240625FKO12,2.8,5.1,5.0,30.4,7.2,7.0,31.6,10.7,31.9,31.9,54.2,48.9,173.0,77.5,180.0,300.0,91.8,281.2,187.5,150.0
20240625KRT01,4.4,3.3,13.5,17.4,4.9,14.0,24.8,10.2,13.7,34.7,49.4,81.3,102.9,60.7,60.0,112.0,34.3,38.7,129.2,51.4
20240625KRT02,2.7,2.7,4.1,35.3,13.9,21.4,28.6,23.6,136.9,90.0,34.6,45.6,286.3,27.1,105.0,80.7,165.7,787.5,630.0,185.2
20240625KRT03,5.6,11.6,34.6,36.5,3.0,4.8,5.0,16.8,14.1,21.5,47.5,136.3,136.3,454.3,215.2,240.5,92.9,60.1,49.8,136.3
20240625KRT04,1.9,39.4,101.7,17.4,13.7,61.4,6.7,186.5,68.2,119.0,10.1,64.3,4.7,266.4,31.4,215.1,169.5,12.5,88.8,294.4
20240625KRT05,7.8,2.8,8.3,20.7,33.2,55.0,88.0,35.5,49.7,78.4,6.5,16.2,22.1,7.5,11.8,26.0,66.5,63.6,154.7,50.2
20240625KRT06,21.2,11.8,11.0,20.1,32.2,24.5,39.4,10.1,22.2,12.8,25.8,21.4,29.6,6.3,13.8,8.7,20.1,34.4,23.0,6.3
20240625KRT07,18.4,14.7,10.0,61.1,15.2,5.9,46.3,5.0,22.4,17.2,20.9,11.8,59.9,10.0,39.7,36.8,9.3,45.6,22.9,15.2
20240625KRT08,10.1,2.7,70.1,49.1,7.1,59.9,65.8,13.4,11.0,84.4,8.0,21.9,34.6,14.7,11.2,78.4,28.9,25.7,63.3,31.9
20240625KRT09,4.3,27.1,7.8,9.0,48.4,14.9,17.0,61.9,59.1,42.8,14.5,4.9,7.0,22.8,29.8,19.3,49.0,48.4,33.8,91.4
20240625KRT10,2.0,8.8,37.6,28.3,7.2,22.0,15.7,96.6,44.1,105.1,6.7,20.7,14.2,108.3,38.0,132.4,59.5,24.6,57.6,105.1
20240625KRT11,4.1,5.7,16.7,51.5,3.1,6.2,24.5,9.1,40.2,47.8,33.5,71.8,134.1,83.8,105.8,167.6,21.3,71.8,80.4,69.3
20240625KRT12,3.7,3.7,9.0,8.2,7.5,21.2,20.9,11.5,12.4,39.2,42.9,109.3,90.1,49.4,35.0,109.3,94.9,85.8,144.3,48.7
20240626KRY01,7.0,38.1,7.4,64.4,14.7,2.2,25.1,20.2,107.9,32.8,28.3,8.2,63.6,39.7,118.1,85.5,11.8,76.3,20.2,80.0
